"111,28","0,0","13,4","28,10","42,14","51,18","61,20","72,22","84,24","93,26","99,27"
"29,86","0,0","2,8","7,24","12,40","15,48","18,54","19,60","22,68","24,74","26,79"
"191,61","0,0","40,14","105,35","134,44","146,48","153,50","162,53","171,56","178,58","182,59"
"-86,-201","0,0","-7,-18","-27,-66","-44,-101","-50,-115","-56,-129","-67,-156","-78,-185","-81,-194","-84,-197"
"112,139","0,0","44,58","59,79","68,91","78,105","83,114","89,120","96,126","102,131","108,135"
"-110,21","0,0","-36,4","-58,7","-68,8","-76,10","-82,12","-88,13","-93,14","-98,16","-102,18"
"-95,-34","0,0","-4,-1","-16,-6","-38,-15","-58,-23","-72,-28","-78,-32","-82,-33","-86,-33","-89,-33"
"96,65","0,0","18,11","35,22","49,30","61,39","68,44","75,48","80,51","84,54","88,57"
"184,-6","0,0","65,-2","104,-5","128,-7","142,-9","152,-9","160,-9","167,-9","174,-9","180,-7"
"13,-134","0,0","7,-21","15,-45","19,-63","23,-76","25,-90","25,-101","24,-111","21,-119","16,-126"
"103,-186","0,0","26,-50","44,-84","54,-105","63,-120","79,-144","87,-154","91,-158","95,-163","100,-173"
"-195,-189","0,0","-121,-79","-158,-104","-166,-111","-178,-121","-184,-126","-186,-137","-190,-154","-190,-163","-191,-170"
"53,-102","0,0","9,-16","18,-32","27,-50","34,-64","38,-70","40,-74","43,-80","46,-87","50,-94"
"-111,33","0,0","-26,6","-55,13","-69,16","-76,19","-84,22","-90,24","-98,26","-102,28","-105,30"
"46,163","0,0","12,64","19,97","22,109","26,121","32,133","36,142","37,146","39,150","43,159"
"45,-162","0,0","18,-52","25,-76","30,-89","36,-112","41,-130","44,-137","45,-143","46,-148","46,-153"
"-128,140","0,0","-65,50","-96,74","-116,91","-130,104","-138,115","-142,122","-143,129","-141,135","-134,138"
"58,93","0,0","27,39","36,52","38,56","41,61","47,69","51,75","53,80","54,84","56,89"
"-34,-43","0,0","-2,-4","-9,-13","-14,-19","-17,-23","-20,-25","-22,-29","-25,-32","-27,-35","-30,-37"
"-201,-112","0,0","-72,-37","-106,-53","-132,-65","-159,-80","-174,-86","-179,-89","-184,-93","-189,-97","-192,-101"
"-80,143","0,0","-27,33","-43,58","-54,75","-63,89","-70,101","-75,110","-77,117","-80,124","-80,131"
"14,-94","0,0","3,-22","7,-49","8,-56","9,-61","10,-66","10,-71","11,-76","12,-80","12,-85"
"130,110","0,0","42,38","62,57","71,66","85,79","100,91","107,99","111,101","115,103","119,106"
"4,-66","0,0","1,-8","2,-16","2,-23","2,-31","4,-38","4,-44","4,-51","4,-58","4,-62"
"142,-49","0,0","32,-18","55,-28","73,-35","90,-44","101,-50","112,-52","120,-54","132,-54","137,-51"
"65,-103","0,0","18,-22","25,-29","36,-42","44,-52","49,-60","55,-74","59,-82","61,-90","63,-98"
"116,-126","0,0","44,-54","54,-68","62,-78","70,-86","79,-94","85,-100","92,-106","97,-110","105,-116"
"-37,-108","0,0","-5,-19","-11,-35","-15,-45","-18,-54","-20,-64","-24,-76","-27,-89","-29,-97","-32,-102"
"110,53","0,0","30,12","45,20","56,24","66,29","72,32","80,37","90,43","96,46","103,50"
"52,87","0,0","12,19","28,44","38,59","42,66","44,70","46,74","48,78","49,82","51,85"
"-156,-105","0,0","-44,-20","-97,-48","-110,-55","-120,-60","-134,-69","-145,-76","-150,-79","-152,-87","-155,-98"
"110,-16","0,0","25,-4","39,-7","52,-10","66,-14","79,-15","86,-15","94,-16","100,-16","105,-16"
"-167,-82","0,0","-28,-6","-60,-18","-81,-30","-101,-42","-117,-52","-133,-63","-144,-71","-152,-75","-160,-79"
"108,127","0,0","28,30","51,54","64,70","74,80","80,90","89,100","97,110","101,117","104,121"
"-62,-48","0,0","-8,-4","-17,-9","-22,-13","-28,-17","-36,-25","-42,-31","-48,-35","-52,-39","-56,-44"
"-87,79","0,0","-15,11","-35,27","-46,40","-56,49","-65,57","-73,64","-79,69","-83,74","-86,77"
"138,-26","0,0","35,-6","68,-12","89,-17","102,-19","111,-21","121,-23","128,-23","134,-25","138,-26"
"-44,38","0,0","-5,5","-12,11","-19,16","-23,21","-27,24","-31,27","-34,29","-37,30","-38,32"
"42,-147","0,0","14,-31","22,-52","28,-76","32,-95","34,-105","35,-117","38,-126","39,-135","40,-141"
"128,112","0,0","35,27","65,53","85,69","94,77","100,83","106,89","112,96","118,103","123,106"
"-3,-85","0,0","0,-14","0,-35","-1,-54","-2,-64","-3,-71","-3,-75","-3,-78","-3,-81","-3,-83"
